x,0r,2r,4r,6r,8r,10r,12r,14r,16r,18r,20r
-2.5758293035489004,0.19411224156473175,0.03697653610587441,0.03323201575588215,0.0326124188544369,0.03281837597625952,0.030842278381951912,0.030472478407580935,0.030293274062374902,0.02905777571496397,0.028684602498432073,0.029244671044250964
-2.0606634428391204,0.19411224156473175,0.09962096721745559,0.09020395865513105,0.08692088402460994,0.08500911479936966,0.08523292061433246,0.0867610990637507,0.08715443573285202,0.08278316184378276,0.08222264483283442,0.08256162006978174
-1.5454975821293402,0.19411224156473175,0.1961718909747283,0.1878035937138784,0.18448474306459,0.18315335225116777,0.17960284169019655,0.17992711621961704,0.17956362709594098,0.181217361420219,0.1779231234423294,0.17725771359908113
-1.03033172141956,0.19411224156473175,0.2923536322905866,0.2939247561773175,0.29267204872541663,0.29705585075491764,0.29732505364521195,0.29663022501460795,0.2947761050186043,0.29898403779346727,0.2988110406840093,0.29630142162251827
-0.51516586070978,0.19411224156473175,0.34640971397558035,0.3644457335377846,0.3704341157184512,0.37376807594986877,0.3774208624120736,0.37671134815406626,0.3846951696464693,0.37796763953359963,0.38154450720517197,0.3905058428074289
0.0,0.19411224156473175,0.3453993199253931,0.36289283560526653,0.37158629099534424,0.3738652292239248,0.3748326991912105,0.38433437950296456,0.3769306799838797,0.3829287231922518,0.3812694493729949,0.37917771199270844
0.5151658607097804,0.19411224156473175,0.29128494627596596,0.2946041490227941,0.2979642436413163,0.29732787992227555,0.2987171717412824,0.29590328645814096,0.2989132447125598,0.29500729613057947,0.2983591599597189,0.2969504291171116
1.0303317214195604,0.19411224156473175,0.19654107341614271,0.18953119266380455,0.18682815040742384,0.18169605314032145,0.18089692330062818,0.17792312344232947,0.1762303865842235,0.18080393778199805,0.17802135838239258,0.17771005215591898
1.5454975821293404,0.19411224156473175,0.0995238139433992,0.09123275353542402,0.08653031613413752,0.08520342134748254,0.0868211116816802,0.08287099543725102,0.08248789901644732,0.0832162723219191,0.08312640628141514,0.08289595726396612
2.060663442839121,0.1941122415647325,0.03684052152219546,0.033251426980038655,0.031089204081594976,0.031225062281734228,0.02943055298875389,0.02958836394701285,0.03007759379396968,0.029156209914540418,0.03116012298802281,0.02851699597455543
2.5758293035489004,0.1941122415647325,0.03684052152219546,0.033251426980038655,0.031089204081594976,0.031225062281734228,0.02943055298875389,0.02958836394701285,0.03007759379396968,0.029156209914540418,0.03116012298802281,0.02851699597455543
