x,0r,4r,8r,12r,16r,20r,24r,28r,32r,36r,40r
-2.5758293035489004,0.19411224156473175,0.03963771972751831,0.03340129562059808,0.03156153791957487,0.031249240698354584,0.03100930896575447,0.030184453563315845,0.0292251138542439,0.02998936095689477,0.029787193825699138,0.02951137331106092
-2.0606634428391204,0.19411224156473175,0.1053350078851019,0.09310198252826966,0.08768720414575759,0.08658440458332346,0.08312285111215566,0.08486587201210087,0.08466325505569275,0.08309572522740755,0.08285231211531707,0.08282319575300078
-1.5454975821293402,0.19411224156473175,0.2015564460287396,0.18794300866214936,0.1860022731011679,0.1831525609575328,0.1813368343880658,0.18088349230209563,0.18057753912297222,0.18041654452099823,0.17774191488622493,0.182966569157814
-1.03033172141956,0.19411224156473175,0.2883731460685662,0.29358747887110315,0.2941839823895066,0.2951696704939831,0.2983101360467732,0.2950797240146277,0.2951844776898168,0.3005994722655464,0.29785250760218,0.29609021237457805
-0.51516586070978,0.19411224156473175,0.33585300035529947,0.3621874056823433,0.3707651166056178,0.3747664247525027,0.37794966974137645,0.3801397082682934,0.37741640801597176,0.37860710388830277,0.38031620662127147,0.38049155643298327
0.0,0.19411224156473175,0.3363188697350546,0.36426648574715037,0.3719167126088674,0.374659072582708,0.3770837053554482,0.3791303246121563,0.3806450497620786,0.3815776094031566,0.3794515424821692,0.3800082485144529
0.5151658607097804,0.19411224156473175,0.28709200527423884,0.2916055520803522,0.29454507605154256,0.2948671325609261,0.2957219728259101,0.2942062189275863,0.29848202337562746,0.2931879139512565,0.29901834689085727,0.29805303432942476
1.0303317214195604,0.19411224156473175,0.20028501084649064,0.18954603768408035,0.18501658499669144,0.182508447938766,0.1811519655865756,0.1815628851475722,0.18244778891492455,0.17989695114711285,0.17964611905773098,0.17945518917828948
1.5454975821293404,0.19411224156473175,0.10625704103253433,0.09128521630341459,0.08726755475474281,0.08653560814250774,0.08499099900089899,0.08489498884833557,0.08291112630323219,0.08355649670990965,0.08358096167074028,0.08287251288754467
2.060663442839121,0.1941122415647325,0.04041416869377728,0.03419795246786077,0.032176373073852314,0.031629852936716815,0.030444972624363277,0.03017474795123765,0.029569633552761453,0.03019523757673618,0.030875310495131102,0.028850523708172874
2.5758293035489004,0.1941122415647325,0.04041416869377728,0.03419795246786077,0.032176373073852314,0.031629852936716815,0.030444972624363277,0.03017474795123765,0.029569633552761453,0.03019523757673618,0.030875310495131102,0.028850523708172874
